"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"10128","926","1400000US48029171917","Census Tract 1719.17, Bexar County, Texas"
"6151","508","1400000US48029171918","Census Tract 1719.18, Bexar County, Texas"
"5333","479","1400000US48029171919","Census Tract 1719.19, Bexar County, Texas"
"9402","1006","1400000US48029171920","Census Tract 1719.20, Bexar County, Texas"
"4593","348","1400000US48029171921","Census Tract 1719.21, Bexar County, Texas"
"3505","237","1400000US48029171922","Census Tract 1719.22, Bexar County, Texas"
"10263","740","1400000US48029171923","Census Tract 1719.23, Bexar County, Texas"
"7856","755","1400000US48029171924","Census Tract 1719.24, Bexar County, Texas"
"10228","864","1400000US48029171925","Census Tract 1719.25, Bexar County, Texas"
"18624","1063","1400000US48029172002","Census Tract 1720.02, Bexar County, Texas"
"5195","376","1400000US48029172003","Census Tract 1720.03, Bexar County, Texas"
"7580","569","1400000US48029172004","Census Tract 1720.04, Bexar County, Texas"
"9060","732","1400000US48029172005","Census Tract 1720.05, Bexar County, Texas"
"9694","664","1400000US48029172006","Census Tract 1720.06, Bexar County, Texas"
"11073","872","1400000US48029172007","Census Tract 1720.07, Bexar County, Texas"
"5257","424","1400000US48029180101","Census Tract 1801.01, Bexar County, Texas"
"1874","276","1400000US48029180102","Census Tract 1801.02, Bexar County, Texas"
"5372","437","1400000US48029180201","Census Tract 1802.01, Bexar County, Texas"
"5000","623","1400000US48029180202","Census Tract 1802.02, Bexar County, Texas"
"5207","646","1400000US48029180300","Census Tract 1803, Bexar County, Texas"
"4709","525","1400000US48029180400","Census Tract 1804, Bexar County, Texas"
"4628","463","1400000US48029180501","Census Tract 1805.01, Bexar County, Texas"
"4849","321","1400000US48029180503","Census Tract 1805.03, Bexar County, Texas"
"4868","485","1400000US48029180504","Census Tract 1805.04, Bexar County, Texas"
"3751","536","1400000US48029180602","Census Tract 1806.02, Bexar County, Texas"
"2386","294","1400000US48029180603","Census Tract 1806.03, Bexar County, Texas"
"6812","708","1400000US48029180604","Census Tract 1806.04, Bexar County, Texas"
"3971","404","1400000US48029180701","Census Tract 1807.01, Bexar County, Texas"
"6892","666","1400000US48029180702","Census Tract 1807.02, Bexar County, Texas"
"2842","330","1400000US48029180800","Census Tract 1808, Bexar County, Texas"
